course_id,course_name,semester_range,n_semesters,avg_final_grade,total_students,avg_pass_pct,avg_general_rank,n_general_rank,hist_url,cf_url
00140003,סטטיסטיקה,201401 to 202501,23,78.506,2722,94.885,4.000,13,https://michael-maltsev.github.io/technion-histograms/00140003/,https://cheesefork.cf/?course=00140003&semester=202502
00140004,נתוח מערכות,201601 to 202501,17,77.026,1716,92.192,3.769,13,https://michael-maltsev.github.io/technion-histograms/00140004/,https://cheesefork.cf/?course=00140004&semester=202502
00140005,מעבדה הנדסית,201601 to 202501,23,86.900,1099,98.097,3.143,7,https://michael-maltsev.github.io/technion-histograms/00140005/,https://cheesefork.cf/?course=00140005&semester=202502
00140006,מבוא לשיטות נומריות,201502 to 202402,16,75.442,1993,93.395,3.929,14,https://michael-maltsev.github.io/technion-histograms/00140006/,https://cheesefork.cf/?course=00140006&semester=202502
00140008,מידע גרפי הנדסי,201201 to 202402,22,79.212,2661,94.061,4.000,35,https://michael-maltsev.github.io/technion-histograms/00140008/,https://cheesefork.cf/?course=00140008&semester=202502
00140013,תהליכים הנדסיים,,0,,,,,0,https://michael-maltsev.github.io/technion-histograms/00140013/,https://cheesefork.cf/?course=00140013&semester=202501
00140014,חינוך במקצועות הנדסיים,,0,,,,,0,https://michael-maltsev.github.io/technion-histograms/00140014/,https://cheesefork.cf/?course=00140014&semester=202502
00140101,פרויקט בקונסטרוקציות,,0,,,,,0,https://michael-maltsev.github.io/technion-histograms/00140101/,https://cheesefork.cf/?course=00140101&semester=202501
00140102,מבוא למכניקה הנדסית,202301 to 202402,4,58.255,515,60.623,3.846,13,https://michael-maltsev.github.io/technion-histograms/00140102/,https://cheesefork.cf/?course=00140102&semester=202502
00140104,תורת החוזק 1,201401 to 202501,24,67.941,2298,84.940,3.448,29,https://michael-maltsev.github.io/technion-histograms/00140104/,https://cheesefork.cf/?course=00140104&semester=202502
00140107,מבוא לתורת האלסטיות,201801 to 202401,5,79.563,268,93.343,3.200,5,https://michael-maltsev.github.io/technion-histograms/00140107/,https://cheesefork.cf/?course=00140107&semester=202501
00140108,סטטיקת מבנים,201501 to 202401,12,72.906,1883,88.857,2.750,12,https://michael-maltsev.github.io/technion-histograms/00140108/,https://cheesefork.cf/?course=00140108&semester=202501
00140113,יסודות,201701 to 202401,8,76.476,842,93.942,3.667,3,https://michael-maltsev.github.io/technion-histograms/00140113/,https://cheesefork.cf/?course=00140113&semester=202501
00140131,פרויקט מורחב במבנים,201702 to 202402,7,86.937,516,98.262,,0,https://michael-maltsev.github.io/technion-histograms/00140131/,https://cheesefork.cf/?course=00140131&semester=202502
00140132,פרויקט מורחב במבנים,201702 to 202402,6,86.234,444,98.421,,0,https://michael-maltsev.github.io/technion-histograms/00140132/,https://cheesefork.cf/?course=00140132&semester=202502
00140143,שיטות מחשב בסטטיקת מבנים,201601 to 202401,9,80.374,942,96.452,3.833,6,https://michael-maltsev.github.io/technion-histograms/00140143/,https://cheesefork.cf/?course=00140143&semester=202501
00140145,תורת החוזק 2,201501 to 202301,9,73.455,1224,91.486,4.000,6,https://michael-maltsev.github.io/technion-histograms/00140145/,https://cheesefork.cf/?course=00140145&semester=202501
00140146,מבוא לדינמיקת מבנים ורעידות אדמה,201602 to 202402,9,73.360,1011,87.997,2.700,10,https://michael-maltsev.github.io/technion-histograms/00140146/,https://cheesefork.cf/?course=00140146&semester=202502
00140147,בניית המהנדס 1,201701 to 202501,9,74.946,925,90.173,2.200,5,https://michael-maltsev.github.io/technion-histograms/00140147/,https://cheesefork.cf/?course=00140147&semester=202501
00140148,עקרי תכן מבנים,201602 to 202402,9,79.974,945,96.004,3.000,6,https://michael-maltsev.github.io/technion-histograms/00140148/,https://cheesefork.cf/?course=00140148&semester=202502
00140149,מבני בטון 2,201601 to 202401,9,69.822,1092,86.484,3.800,10,https://michael-maltsev.github.io/technion-histograms/00140149/,https://cheesefork.cf/?course=00140149&semester=202501
