course_id,course_name,semester_range,n_semesters,avg_final_grade,total_students,avg_pass_pct,avg_general_rank,n_general_rank,hist_url,cf_url
00140003,סטטיסטיקה,201401 to 202501,23,78.506,2722,94.885,4.000,13,https://michael-maltsev.github.io/technion-histograms/00140003/,https://cheesefork.cf/?course=00140003&semester=202502
00140004,נתוח מערכות,201601 to 202401,16,77.306,1698,92.703,3.769,13,https://michael-maltsev.github.io/technion-histograms/00140004/,https://cheesefork.cf/?course=00140004&semester=202502
00140006,מבוא לשיטות נומריות,201502 to 202402,16,75.442,1993,93.395,3.929,14,https://michael-maltsev.github.io/technion-histograms/00140006/,https://cheesefork.cf/?course=00140006&semester=202502
00140008,מידע גרפי הנדסי,201201 to 202402,22,79.212,2661,94.061,4.000,35,https://michael-maltsev.github.io/technion-histograms/00140008/,https://cheesefork.cf/?course=00140008&semester=202502
00140102,מבוא למכניקה הנדסית,202301 to 202402,4,58.255,515,60.623,3.846,13,https://michael-maltsev.github.io/technion-histograms/00140102/,https://cheesefork.cf/?course=00140102&semester=202502
00140104,תורת החוזק 1,201401 to 202501,24,67.941,2298,84.940,3.448,29,https://michael-maltsev.github.io/technion-histograms/00140104/,https://cheesefork.cf/?course=00140104&semester=202502
00140108,סטטיקת מבנים,201501 to 202401,12,72.906,1883,88.857,2.750,12,https://michael-maltsev.github.io/technion-histograms/00140108/,https://cheesefork.cf/?course=00140108&semester=202501
00140146,מבוא לדינמיקת מבנים ורעידות אדמה,201602 to 202402,9,73.360,1011,87.997,2.700,10,https://michael-maltsev.github.io/technion-histograms/00140146/,https://cheesefork.cf/?course=00140146&semester=202502
00140149,מבני בטון 2,201601 to 202401,9,69.822,1092,86.484,3.800,10,https://michael-maltsev.github.io/technion-histograms/00140149/,https://cheesefork.cf/?course=00140149&semester=202501
00140214,יסודות מכניקת הזורמים,201501 to 202401,13,75.876,786,93.384,3.400,15,https://michael-maltsev.github.io/technion-histograms/00140214/,https://cheesefork.cf/?course=00140214&semester=202501
00140505,חומרי בנייה,201401 to 202501,13,77.274,2221,92.527,1.923,13,https://michael-maltsev.github.io/technion-histograms/00140505/,https://cheesefork.cf/?course=00140505&semester=202501
00140618,מבוא לניהול ובטיחות בבנייה,201901 to 202402,7,81.608,1110,98.532,4.375,16,https://michael-maltsev.github.io/technion-histograms/00140618/,https://cheesefork.cf/?course=00140618&semester=202502
00140841,יסודות המיפוי והמדידה 1,201502 to 202302,16,82.984,1498,96.616,3.571,14,https://michael-maltsev.github.io/technion-histograms/00140841/,https://cheesefork.cf/?course=00140841&semester=202502
00340010,דינמיקה,201202 to 202402,18,71.734,1942,86.320,3.381,21,https://michael-maltsev.github.io/technion-histograms/00340010/,https://cheesefork.cf/?course=00340010&semester=202502
00340022,מבוא למכטרוניקה,201401 to 202401,16,83.274,1508,96.060,3.200,10,https://michael-maltsev.github.io/technion-histograms/00340022/,https://cheesefork.cf/?course=00340022&semester=202502
00340028,מכניקת מוצקים 1,201102 to 202402,23,68.662,2437,84.852,3.632,38,https://michael-maltsev.github.io/technion-histograms/00340028/,https://cheesefork.cf/?course=00340028&semester=202502
00340030,תהליכי יצור,201401 to 202501,22,81.648,1518,96.337,2.667,27,https://michael-maltsev.github.io/technion-histograms/00340030/,https://cheesefork.cf/?course=00340030&semester=202502
00340032,מערכות ליניאריות מ',201302 to 202402,20,79.382,1853,91.120,2.870,23,https://michael-maltsev.github.io/technion-histograms/00340032/,https://cheesefork.cf/?course=00340032&semester=202502
00340034,הנע חשמלי,201302 to 202402,13,84.447,1606,94.322,2.800,15,https://michael-maltsev.github.io/technion-histograms/00340034/,https://cheesefork.cf/?course=00340034&semester=202502
00340035,תרמודינמיקה 1,201401 to 202401,18,72.332,1975,86.211,4.000,35,https://michael-maltsev.github.io/technion-histograms/00340035/,https://cheesefork.cf/?course=00340035&semester=202502
00340040,מבוא לבקרה,201401 to 202501,18,75.603,1777,86.971,3.333,24,https://michael-maltsev.github.io/technion-histograms/00340040/,https://cheesefork.cf/?course=00340040&semester=202502
00340041,מעבר חום,201501 to 202403,17,77.700,1511,90.037,3.591,22,https://michael-maltsev.github.io/technion-histograms/00340041/,https://cheesefork.cf/?course=00340041&semester=202502
00340043,שרטוט הנדסי ממוחשב,201401 to 202401,17,91.287,1563,99.353,2.968,31,https://michael-maltsev.github.io/technion-histograms/00340043/,https://cheesefork.cf/?course=00340043&semester=202501
00340048,מבוא לשרטוט הנדסי,202002 to 202402,5,80.388,645,94.009,2.303,33,https://michael-maltsev.github.io/technion-histograms/00340048/,https://cheesefork.cf/?course=00340048&semester=202402
00340051,דינמיקה ומכניקה של תנודות,202001 to 202402,7,82.182,481,91.809,2.667,12,https://michael-maltsev.github.io/technion-histograms/00340051/,https://cheesefork.cf/?course=00340051&semester=202502
00340053,מכניקת מוצקים 2מ,202201 to 202402,6,66.776,472,80.281,4.040,25,https://michael-maltsev.github.io/technion-histograms/00340053/,https://cheesefork.cf/?course=00340053&semester=202502
00340055,תורת הזרימה 1מ',202201 to 202402,5,81.845,430,92.051,3.867,15,https://michael-maltsev.github.io/technion-histograms/00340055/,https://cheesefork.cf/?course=00340055&semester=202502
00340056,מבוא לחישוב מדעי והנדסי,202201 to 202401,5,74.918,472,87.987,1.579,19,https://michael-maltsev.github.io/technion-histograms/00340056/,https://cheesefork.cf/?course=00340056&semester=202502
