rank,course_id,course_name,semester_range,n_semesters,avg_final_grade,total_students,avg_pass_pct,avg_general_rank,n_general_rank,hist_url,cf_url
1,960275,גורמי אנוש בדאטא,201801 to 202501,8,85.637,683,99.224,1.38,50,https://michael-maltsev.github.io/technion-histograms/00960275/,https://cheesefork.cf/?course=00960275&semester=202501
2,2360370,תכנות מקבילי ומבוזר לעיבוד נתונים ולמידה חישובית,201601 to 202401,9,81.801,576,97.083,1.5,12,https://michael-maltsev.github.io/technion-histograms/02360370/,https://cheesefork.cf/?course=02360370&semester=202501
3,340056,מבוא לחישוב מדעי והנדסי,202201 to 202401,5,74.918,472,87.987,1.579,19,https://michael-maltsev.github.io/technion-histograms/00340056/,https://cheesefork.cf/?course=00340056&semester=202502
4,3250009,להשאיר חותם במדע ובאמנות,202301 to 202301,1,90.927,41,100,1.636,11,https://michael-maltsev.github.io/technion-histograms/03250009/,https://cheesefork.cf/?course=03250009&semester=202401
5,2340311,פרויקט שנתי בהנדסת תוכנה,201801 to 202501,8,91.24,405,100,1.7,20,https://michael-maltsev.github.io/technion-histograms/02340311/,https://cheesefork.cf/?course=02340311&semester=202501
6,2360330,מבוא לאופטימיזציה,201402 to 202302,8,90.63,640,99.075,1.8,25,https://michael-maltsev.github.io/technion-histograms/02360330/,https://cheesefork.cf/?course=02360330&semester=202502
7,1250101,כימיה אנליטית 1 למהנדסים,201302 to 202402,12,71.457,2019,86.597,1.821,28,https://michael-maltsev.github.io/technion-histograms/01250101/,https://cheesefork.cf/?course=01250101&semester=202502
8,140505,חומרי בנייה,201401 to 202501,13,77.274,2221,92.527,1.923,13,https://michael-maltsev.github.io/technion-histograms/00140505/,https://cheesefork.cf/?course=00140505&semester=202501
9,440124,אלקטרוניקה פיסיקלית,201702 to 202501,14,80.923,1082,96.511,1.933,45,https://michael-maltsev.github.io/technion-histograms/00440124/,https://cheesefork.cf/?course=00440124&semester=202502
10,1240413,תרמודינמיקה סטטיסטית,201502 to 202402,10,73.393,571,85.518,1.941,17,https://michael-maltsev.github.io/technion-histograms/01240413/,https://cheesefork.cf/?course=01240413&semester=202502
11,640325,מעבדה בביוכימיה,201602 to 202402,9,86.677,601,99.847,2,11,https://michael-maltsev.github.io/technion-histograms/00640325/,https://cheesefork.cf/?course=00640325&semester=202502
12,1140081,מעבדה לפיסיקה 1,201401 to 202402,24,89.76,1620,99.733,2,19,https://michael-maltsev.github.io/technion-histograms/01140081/,https://cheesefork.cf/?course=01140081&semester=202502
13,960224,ניהול מידע מבוזר,201702 to 202402,8,87.034,708,98.34,2.034,29,https://michael-maltsev.github.io/technion-histograms/00960224/,https://cheesefork.cf/?course=00960224&semester=202502
14,1340128,ביולוגיה של התא,201102 to 202402,12,79.658,772,93.587,2.077,13,https://michael-maltsev.github.io/technion-histograms/01340128/,https://cheesefork.cf/?course=01340128&semester=202502
15,1140032,מעבדה לפיסיקה 1ח',201401 to 202501,28,89.315,2308,98.861,2.118,34,https://michael-maltsev.github.io/technion-histograms/01140032/,https://cheesefork.cf/?course=01140032&semester=202502
16,960211,מודלים למסחר אלקטרוני,201502 to 202402,10,81.248,1363,93.474,2.212,66,https://michael-maltsev.github.io/technion-histograms/00960211/,https://cheesefork.cf/?course=00960211&semester=202502
17,3240527,יסודות היזמות,201902 to 202402,11,94.357,792,100,2.222,18,https://michael-maltsev.github.io/technion-histograms/03240527/,https://cheesefork.cf/?course=03240527&semester=202502
18,3360537,ביופיסיקה ונוירופיסיולוגיה למהנדסים,201402 to 202402,11,78.112,928,97.428,2.25,20,https://michael-maltsev.github.io/technion-histograms/03360537/,https://cheesefork.cf/?course=03360537&semester=202502
19,3350010,תכן ביומכני בסיסי,201502 to 202401,10,82.454,731,97.057,2.294,17,https://michael-maltsev.github.io/technion-histograms/03350010/,https://cheesefork.cf/?course=03350010&semester=202501
20,340048,מבוא לשרטוט הנדסי,202002 to 202402,5,80.388,645,94.009,2.303,33,https://michael-maltsev.github.io/technion-histograms/00340048/,https://cheesefork.cf/?course=00340048&semester=202402
21,2360322,מערכות אחסון מידע,201801 to 202401,7,77.964,390,94.99,2.316,19,https://michael-maltsev.github.io/technion-histograms/02360322/,https://cheesefork.cf/?course=02360322&semester=202501
22,940210,ארגון המחשב ומערכות הפעלה,201202 to 202402,11,77.212,1810,94.996,2.377,53,https://michael-maltsev.github.io/technion-histograms/00940210/,https://cheesefork.cf/?course=00940210&semester=202502
23,1040221,פונקצ' מרוכבות והתמרות אינטגרליות,201101 to 202301,28,72.788,6600,88.884,2.403,77,https://michael-maltsev.github.io/technion-histograms/01040221/,https://cheesefork.cf/?course=01040221&semester=202401
24,2360523,מבוא לביואינפורמטיקה,201501 to 202401,9,89.655,557,98.39,2.438,16,https://michael-maltsev.github.io/technion-histograms/02360523/,https://cheesefork.cf/?course=02360523&semester=202501
25,3240518,"חדשנות, יצירתיות",202001 to 202501,7,94.448,444,97.757,2.444,18,https://michael-maltsev.github.io/technion-histograms/03240518/,https://cheesefork.cf/?course=03240518&semester=202502
26,460189,תכן מסננים אנלוגיים,201502 to 202401,9,81.08,185,95.676,2.455,11,https://michael-maltsev.github.io/technion-histograms/00460189/,https://cheesefork.cf/?course=00460189&semester=202501
27,1040215,פונקציות מרוכבות א',200302 to 202501,23,70.168,4835,82.8,2.455,101,https://michael-maltsev.github.io/technion-histograms/01040215/,https://cheesefork.cf/?course=01040215&semester=202502
28,1250013,מעבדה בכימיה כללית,201202 to 202402,23,90.396,4199,98.898,2.481,27,https://michael-maltsev.github.io/technion-histograms/01250013/,https://cheesefork.cf/?course=01250013&semester=202502
29,350188,תורת הבקרה,201402 to 202402,11,74.848,406,89.414,2.5,12,https://michael-maltsev.github.io/technion-histograms/00350188/,https://cheesefork.cf/?course=00350188&semester=202502
30,960625,הצגת מידע חזותי וקוגניציה,201802 to 202402,7,90.283,1056,98.909,2.5,16,https://michael-maltsev.github.io/technion-histograms/00960625/,https://cheesefork.cf/?course=00960625&semester=202502
31,960266,חווית משתמש במערכות אינטראקטיביות,201901 to 202402,5,92.189,493,97.692,2.533,15,https://michael-maltsev.github.io/technion-histograms/00960266/,https://cheesefork.cf/?course=00960266&semester=202502
32,3350001,מעבדה בהנדסה ביו,201502 to 202402,15,93.557,659,100,2.545,11,https://michael-maltsev.github.io/technion-histograms/03350001/,https://cheesefork.cf/?course=03350001&semester=202502
33,960210,יסודות בינה מלאכותית וישומיה,201501 to 202401,9,78.414,1297,93.673,2.56,25,https://michael-maltsev.github.io/technion-histograms/00960210/,https://cheesefork.cf/?course=00960210&semester=202501
34,970215,עיבוד שפה טבעית,201501 to 202402,9,88.656,747,99.076,2.56,25,https://michael-maltsev.github.io/technion-histograms/00970215/,https://cheesefork.cf/?course=00970215&semester=202502
35,1240213,כימיה אנליטית 2 (מורחב),201402 to 202402,11,76.609,879,90.14,2.571,14,https://michael-maltsev.github.io/technion-histograms/01240213/,https://cheesefork.cf/?course=01240213&semester=202502
36,3250002,סטודיו אומן בקמפוס 2,202202 to 202401,4,94.495,75,94.72,2.583,12,https://michael-maltsev.github.io/technion-histograms/03250002/,https://cheesefork.cf/?course=03250002&semester=202401
37,970447,מבוא לחישוביות וסיבוכיות,201902 to 202402,6,76.497,1098,90.709,2.6,20,https://michael-maltsev.github.io/technion-histograms/00970447/,https://cheesefork.cf/?course=00970447&semester=202502
38,3240528,מנהיגות יזמית,201902 to 202501,11,94.302,868,98.976,2.6,20,https://michael-maltsev.github.io/technion-histograms/03240528/,https://cheesefork.cf/?course=03240528&semester=202502
39,1340142,מעבדה בגנטיקה מולקולרית,201501 to 202401,10,87.114,534,100,2.615,13,https://michael-maltsev.github.io/technion-histograms/01340142/,https://cheesefork.cf/?course=01340142&semester=202501
40,970800,עקרונות השיווק,201501 to 202402,10,84.883,1036,99.144,2.643,14,https://michael-maltsev.github.io/technion-histograms/00970800/,https://cheesefork.cf/?course=00970800&semester=202502
41,1240414,כימיה פיסיקלית,201502 to 202402,10,73.348,834,91.888,2.643,14,https://michael-maltsev.github.io/technion-histograms/01240414/,https://cheesefork.cf/?course=01240414&semester=202502
42,1140030,מעבדה לפיסיקה 2 מח',201001 to 202402,17,92.535,566,99.479,2.647,17,https://michael-maltsev.github.io/technion-histograms/01140030/,https://cheesefork.cf/?course=01140030&semester=202502
43,940594,עקרונות הכלכלה למהנדסים,201302 to 202501,20,75.538,1616,88.194,2.656,32,https://michael-maltsev.github.io/technion-histograms/00940594/,https://cheesefork.cf/?course=00940594&semester=202501
44,340030,תהליכי יצור,201401 to 202501,22,81.648,1518,96.337,2.667,27,https://michael-maltsev.github.io/technion-histograms/00340030/,https://cheesefork.cf/?course=00340030&semester=202502
45,340051,דינמיקה ומכניקה של תנודות,202001 to 202402,7,82.182,481,91.809,2.667,12,https://michael-maltsev.github.io/technion-histograms/00340051/,https://cheesefork.cf/?course=00340051&semester=202502
46,3150003,תרמודינמיקה של חומרים,201502 to 202402,10,79.653,611,93.324,2.667,12,https://michael-maltsev.github.io/technion-histograms/03150003/,https://cheesefork.cf/?course=03150003&semester=202502
47,3340222,מכינת מוצקים,201402 to 202402,11,78.632,908,94.118,2.667,18,https://michael-maltsev.github.io/technion-histograms/03340222/,https://cheesefork.cf/?course=03340222&semester=202502
48,840506,מכניקת מוצקים,201702 to 202402,8,78.378,732,94.223,2.682,22,https://michael-maltsev.github.io/technion-histograms/00840506/,https://cheesefork.cf/?course=00840506&semester=202502
